
Summary: 0 | Step: 0 | Reward: 0
Summary: 142 | Step: 3099 | Reward: -1.9300000000000002
Summary: 143 | Step: 3111 | Reward: -1.25
Summary: 144 | Step: 3124 | Reward: -1.3
Summary: 145 | Step: 3137 | Reward: -1.51
Summary: 146 | Step: 3148 | Reward: -1.2000000000000002
Summary: 147 | Step: 3159 | Reward: -1.27
Summary: 148 | Step: 3171 | Reward: -1.53
Summary: 149 | Step: 3197 | Reward: -1.11
Summary: 150 | Step: 3200 | Reward: -0.08
Summary: 151 | Step: 3203 | Reward: -1.08
Summary: 152 | Step: 3224 | Reward: -1.1400000000000001
Summary: 153 | Step: 3242 | Reward: -1.83
Summary: 154 | Step: 3243 | Reward: 1
Summary: 155 | Step: 3277 | Reward: 1.5900000000000003
Summary: 156 | Step: 3307 | Reward: -1.3800000000000001
Summary: 157 | Step: 3328 | Reward: -0.9100000000000003
Summary: 158 | Step: 3331 | Reward: -1.08
Summary: 159 | Step: 3335 | Reward: -1.06
Summary: 160 | Step: 3349 | Reward: -1.63
Summary: 161 | Step: 3363 | Reward: -0.93
Summary: 162 | Step: 3374 | Reward: -1.27
Summary: 163 | Step: 3384 | Reward: -1.43
Summary: 164 | Step: 3403 | Reward: -1.8800000000000003
Summary: 165 | Step: 3412 | Reward: -1.24
Summary: 166 | Step: 3423 | Reward: -1.48
Summary: 167 | Step: 3436 | Reward: -0.81
Summary: 168 | Step: 3456 | Reward: -0.65
Summary: 169 | Step: 3481 | Reward: -1.9000000000000004
